ticker,name,instTrendScore,instTrendDetail,chipsProxyScore,openinsider_link,sec_edgar_link
NVDA,NVIDIA,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=NVDA&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA&type=4&dateb=&owner=include&count=40
AVGO,Broadcom,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=AVGO&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO&type=4&dateb=&owner=include&count=40
AMAT,Applied Materials,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=AMAT&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT&type=4&dateb=&owner=include&count=40
LRCX,Lam Research,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=LRCX&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX&type=4&dateb=&owner=include&count=40
KLAC,KLA,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=KLAC&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC&type=4&dateb=&owner=include&count=40
WDC,Western Digital,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=WDC&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WDC&type=4&dateb=&owner=include&count=40
MU,Micron,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=MU&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU&type=4&dateb=&owner=include&count=40
MSFT,Microsoft,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=MSFT&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT&type=4&dateb=&owner=include&count=40
ETN,Eaton,8,頂級機構 9/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=ETN&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN&type=4&dateb=&owner=include&count=40
VRT,Vertiv,8,頂級機構 9/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=VRT&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRT&type=4&dateb=&owner=include&count=40
